1|Titanic|James Cameron|1997|draama|194|
2|Rush|Ron Howard|2013|elämänkerrallinen draama|112|
3|The Grinch|Ron Howard|2000|komedia|104|
4|Inception|Christopher Nolan|2010|sci-fi, seikkailu, action|148|
5|Kirottu|James Wan|2013|kauhu|112|
6|Avatar|James Cameron|2009|Fantasia|161|
7|Kirottu 2|James Wan|2015|kauhu|125|
8|||0||0|
9|||0||0|
